TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,Season
1610612737,Atlanta Hawks,82,56,26,0.683,4076.0,105.4,98.9,6.5,0.554,1.27,15.6,0.315,0.692,0.508,0.167,0.498,0.542,87.04,0.539,1,7,7,7,25,8,3,5,27,23,28,10,14,8,13,12,12,27,4,10,Atlanta Hawks,1996-97
1610612738,Boston Celtics,82,15,67,0.183,4111.0,100.8,108.8,-8.0,0.584,1.34,16.2,0.294,0.685,0.475,0.164,0.474,0.52,95.24,0.434,1,28,28,28,9,26,27,27,22,18,23,21,18,28,8,24,24,2,28,10,Boston Celtics,1996-97
1610612766,Charlotte Hornets,82,54,28,0.659,4086.0,108.0,105.6,2.4,0.676,1.68,19.4,0.287,0.681,0.49,0.16,0.518,0.562,88.34,0.528,1,9,9,9,22,4,19,12,2,4,3,26,22,22,5,3,2,21,10,10,Charlotte Hornets,1996-97
1610612741,Chicago Bulls,82,69,13,0.841,4069.0,111.1,99.2,12.0,0.654,1.93,19.5,0.359,0.693,0.529,0.146,0.511,0.547,89.94,0.586,1,1,1,1,29,1,4,1,6,1,2,2,12,2,2,5,7,15,2,10,Chicago Bulls,1996-97
1610612739,Cleveland Cavaliers,82,42,40,0.512,4115.0,102.0,99.4,2.6,0.634,1.44,17.8,0.294,0.719,0.503,0.169,0.493,0.531,82.21,0.512,1,14,14,14,7,19,5,11,10,11,10,22,3,10,16,15,18,29,13,10,Cleveland Cavaliers,1996-97
1610612742,Dallas Mavericks,82,24,58,0.293,4091.0,98.0,105.7,-7.7,0.591,1.26,16.2,0.3,0.673,0.484,0.175,0.469,0.509,88.6,0.449,1,24,24,24,17,28,21,26,20,26,24,17,25,27,22,28,27,20,26,10,Dallas Mavericks,1996-97
1610612743,Denver Nuggets,82,21,61,0.256,4117.0,101.2,108.2,-7.0,0.644,1.39,17.5,0.288,0.693,0.493,0.171,0.486,0.53,92.21,0.461,1,26,26,26,6,25,24,25,8,13,11,25,13,20,18,18,19,5,23,10,Denver Nuggets,1996-97
1610612765,Detroit Pistons,82,54,28,0.659,4091.0,107.9,101.3,6.6,0.55,1.49,16.2,0.275,0.704,0.494,0.146,0.512,0.554,84.2,0.53,1,9,9,9,16,5,9,4,28,8,20,28,8,19,1,4,5,28,8,10,Detroit Pistons,1996-97
1610612744,Golden State Warriors,82,30,52,0.366,4109.0,104.1,108.9,-4.8,0.608,1.29,16.9,0.323,0.675,0.499,0.18,0.493,0.543,91.76,0.464,1,21,21,21,10,12,29,22,15,21,15,7,24,18,28,16,11,7,22,10,Golden State Warriors,1996-97
1610612745,Houston Rockets,82,57,25,0.695,4089.0,105.8,101.4,4.4,0.663,1.47,18.7,0.284,0.714,0.51,0.175,0.52,0.56,91.39,0.536,1,4,4,4,19,7,10,8,3,10,5,27,5,7,25,2,3,8,7,10,Houston Rockets,1996-97
