TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,Season
1610612737,Atlanta Hawks,82,56,26,0.683,4076.0,0.498,0.31,0.167,0.315,0.472,0.26,0.171,0.308,1,7,7,7,25,12,17,13,10,5,1,12,14,10,Atlanta Hawks,1996-97
1610612738,Boston Celtics,82,15,67,0.183,4111.0,0.474,0.316,0.164,0.294,0.539,0.337,0.178,0.315,1,28,28,28,9,24,14,8,21,29,19,3,18,10,Boston Celtics,1996-97
1610612766,Charlotte Hornets,82,54,28,0.659,4086.0,0.518,0.313,0.16,0.287,0.496,0.279,0.152,0.319,1,9,9,9,22,3,15,5,26,17,6,27,22,10,Charlotte Hornets,1996-97
1610612741,Chicago Bulls,82,69,13,0.841,4069.0,0.511,0.267,0.146,0.359,0.471,0.266,0.169,0.307,1,1,1,1,29,5,29,2,2,3,3,15,12,10,Chicago Bulls,1996-97
1610612739,Cleveland Cavaliers,82,42,40,0.512,4115.0,0.493,0.297,0.169,0.294,0.482,0.379,0.189,0.281,1,14,14,14,7,15,25,16,22,10,27,2,3,10,Cleveland Cavaliers,1996-97
1610612742,Dallas Mavericks,82,24,58,0.293,4091.0,0.469,0.297,0.175,0.3,0.5,0.305,0.171,0.327,1,24,24,24,17,28,24,22,17,19,11,13,25,10,Dallas Mavericks,1996-97
1610612743,Denver Nuggets,82,21,61,0.256,4117.0,0.486,0.298,0.171,0.288,0.501,0.275,0.134,0.307,1,26,26,26,6,18,23,18,25,21,5,29,13,10,Denver Nuggets,1996-97
1610612765,Detroit Pistons,82,54,28,0.659,4091.0,0.512,0.327,0.146,0.275,0.487,0.268,0.166,0.296,1,9,9,9,16,4,11,1,28,12,4,18,8,10,Detroit Pistons,1996-97
1610612744,Golden State Warriors,82,30,52,0.366,4109.0,0.493,0.332,0.18,0.323,0.518,0.312,0.164,0.325,1,21,21,21,10,16,10,28,7,28,13,19,24,10,Golden State Warriors,1996-97
1610612745,Houston Rockets,82,57,25,0.695,4089.0,0.52,0.307,0.175,0.284,0.481,0.261,0.151,0.286,1,4,4,4,19,2,19,25,27,9,2,28,5,10,Houston Rockets,1996-97
1610612754,Indiana Pacers,82,39,43,0.476,4132.0,0.49,0.374,0.176,0.313,0.48,0.343,0.17,0.296,1,17,17,17,1,17,2,26,11,7,21,14,7,10,Indiana Pacers,1996-97
1610612746,Los Angeles Clippers,82,36,46,0.439,4124.0,0.482,0.31,0.167,0.308,0.499,0.359,0.176,0.319,1,18,18,18,3,21,18,14,14,18,25,5,23,10,Los Angeles Clippers,1996-97
1610612747,Los Angeles Lakers,82,56,26,0.683,4121.0,0.496,0.351,0.157,0.316,0.478,0.321,0.172,0.315,1,7,7,7,5,14,5,4,9,6,15,10,19,10,Los Angeles Lakers,1996-97
1610612748,Miami Heat,82,61,21,0.744,4101.0,0.507,0.324,0.175,0.292,0.465,0.339,0.177,0.294,1,3,3,3,11,8,12,23,23,2,20,4,6,10,Miami Heat,1996-97
1610612749,Milwaukee Bucks,82,33,49,0.402,4078.0,0.496,0.334,0.17,0.297,0.501,0.346,0.159,0.301,1,20,20,20,24,13,9,17,19,20,22,25,10,10,Milwaukee Bucks,1996-97
1610612750,Minnesota Timberwolves,82,40,42,0.488,4088.0,0.485,0.339,0.162,0.288,0.486,0.334,0.166,0.317,1,15,15,15,21,19,8,7,24,11,18,17,21,10,Minnesota Timberwolves,1996-97
1610612751,New Jersey Nets,82,26,56,0.317,4078.0,0.456,0.286,0.164,0.364,0.503,0.327,0.16,0.31,1,23,23,23,23,29,27,9,1,22,17,23,16,10,New Jersey Nets,1996-97
1610612752,New York Knicks,82,57,25,0.695,4125.0,0.501,0.34,0.191,0.305,0.463,0.381,0.172,0.266,1,4,4,4,2,11,7,29,15,1,28,11,1,10,New York Knicks,1996-97
